action	project_path	central_path
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/gamester_2021_shopping_for_truth_pluralism.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/gamester_2021_shopping_for_truth_pluralism.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/gamester_2021_shopping_for_truth_pluralism.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/gamester_2021_shopping_for_truth_pluralism.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/grindrod_2024_large_language_models_linguistic_intentionality.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/grindrod_2024_large_language_models_linguistic_intentionality.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/grindrod_2024_large_language_models_linguistic_intentionality.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/grindrod_2024_large_language_models_linguistic_intentionality.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2015_interface_theory_perception.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2015_interface_theory_perception.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2015_interface_theory_perception.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2015_interface_theory_perception.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2015_interface_theory_perception_springer.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2015_interface_theory_perception_springer.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2015_interface_theory_perception_springer.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2015_interface_theory_perception_springer.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2016_interface_theory_perception_current_directions.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2016_interface_theory_perception_current_directions.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2016_interface_theory_perception_current_directions.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2016_interface_theory_perception_current_directions.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/hoffman_2016_interface_theory_perception_current_directions_images	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/hoffman_2016_interface_theory_perception_current_directions_images
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/iep_pluralist_theories_of_truth.html	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/iep_pluralist_theories_of_truth.html
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/iep_pluralist_theories_of_truth.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/iep_pluralist_theories_of_truth.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/magnus_2015_taxonomy_ontology_natural_kinds.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/magnus_2015_taxonomy_ontology_natural_kinds.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/magnus_2015_taxonomy_ontology_natural_kinds.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/magnus_2015_taxonomy_ontology_natural_kinds.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/mallory_2026_teleosemantics_for_neural_word_embeddings.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/mallory_2026_teleosemantics_for_neural_word_embeddings.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/mallory_2026_teleosemantics_for_neural_word_embeddings.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/mallory_2026_teleosemantics_for_neural_word_embeddings.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/martinez_2019_usefulness_drives_representations_to_truth.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/martinez_2019_usefulness_drives_representations_to_truth.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/martinez_2019_usefulness_drives_representations_to_truth.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/martinez_2019_usefulness_drives_representations_to_truth.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pedersen_2006_mixed_inferences_alethic_pluralism.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pedersen_2006_mixed_inferences_alethic_pluralism.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pedersen_2006_mixed_inferences_alethic_pluralism.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pedersen_2006_mixed_inferences_alethic_pluralism.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pedersen_2012_recent_work_on_alethic_pluralism.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pedersen_2012_recent_work_on_alethic_pluralism.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pedersen_2012_recent_work_on_alethic_pluralism.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pedersen_2012_recent_work_on_alethic_pluralism.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pepp_2025_reference_without_intentions_llms.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pepp_2025_reference_without_intentions_llms.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pepp_2025_reference_without_intentions_llms.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pepp_2025_reference_without_intentions_llms.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/pepp_2025_reference_without_intentions_llms_images	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/pepp_2025_reference_without_intentions_llms_images
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/price_2023_global_expressivism_and_alethic_pluralism.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/price_2023_global_expressivism_and_alethic_pluralism.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/price_2023_global_expressivism_and_alethic_pluralism.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/price_2023_global_expressivism_and_alethic_pluralism.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/sep_natural_kinds.html	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/sep_natural_kinds.html
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/sep_natural_kinds.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/sep_natural_kinds.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/sep_pluralist_theories_of_truth.html	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/sep_pluralist_theories_of_truth.html
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/sep_pluralist_theories_of_truth.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/sep_pluralist_theories_of_truth.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/slater_2015_natural_kindness.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/slater_2015_natural_kindness.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/slater_2015_natural_kindness.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/slater_2015_natural_kindness.pdf
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.md
moved_and_symlinked	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.pdf
linked_existing	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/brigandt_2020_kinds_without_natural_kinds.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/brigandt_kinds_without_talking_natural_kinds.md
linked_existing	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/brigandt_2020_kinds_without_natural_kinds.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/brigandt_kinds_without_talking_natural_kinds.pdf
linked_existing	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/khalidi_2015_natural_kinds_crosscutting_categories.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/khalidi2015.md
linked_existing	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/khalidi_2015_natural_kinds_crosscutting_categories.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/khalidi2015.pdf
linked_existing	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/piantadosi_hill_2022_meaning_without_reference_llms.md	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/piantadosi_hill_2022_mapping_language_models_grounded_spaces_arxiv2208.02957.md
linked_existing	/Users/brettreynolds/Documents/LLM-CLI-projects/papers/Truth-Tracking_as_a_Homeostatic_Property_Cluster/literature/piantadosi_hill_2022_meaning_without_reference_llms.pdf	/Users/brettreynolds/Documents/LLM-CLI-projects/literature/piantadosi_hill_2022_mapping_language_models_grounded_spaces_arxiv2208.02957.pdf
